hhid,head_siblings,debt_ratio_winsorized,log_debt_ratio_winsorized,total_debt,total_assets,head_age,head_is_male,head_educ,head_is_married,head_health,has_business,num_houses,log_total_assets
2015003265,,0.0,-6.907755278982137,0.0,116800.0,65.0,0.0,2.0,1.0,2.0,0.0,1.0,11.66822691098345
2017003480,,0.0,-6.907755278982137,0.0,800050.0,56.0,0.0,3.0,1.0,3.0,0.0,1.0,13.59243075461812
2013009510,,0.0,-6.907755278982137,0.0,254500.0,60.0,1.0,3.0,1.0,3.0,0.0,1.0,12.447060044238079
2013020528,0.0,0.011490290704354818,-4.382803680147148,100000.0,8703000.0,39.0,1.0,7.0,1.0,2.0,0.0,7.0,15.97917846667455
201105986,,0.0,-6.907755278982137,0.0,190800.0,55.0,0.0,2.0,1.0,5.0,0.0,1.0,12.158986279072735
2017003484,,0.0,-6.907755278982137,0.0,207401.0,67.0,0.0,2.0,1.0,2.0,0.0,1.0,12.24241421793261
2015005767,,0.0,-6.907755278982137,0.0,2461200.0,57.0,1.0,7.0,1.0,2.0,0.0,1.0,14.716160000154257
2017003486,,0.0,-6.907755278982137,0.0,10500.0,52.0,1.0,2.0,1.0,2.0,0.0,0.0,9.259225769705994
2017003487,,0.0,-6.907755278982137,0.0,6300.0,85.0,0.0,1.0,0.0,2.0,0.0,1.0,8.748463629942055
2017003488,0.0,0.13435700575815734,-1.9998395039498764,350000.0,2605000.0,38.0,1.0,7.0,0.0,2.0,0.0,3.0,14.77294361704669
2013001095,,0.0,-6.907755278982137,0.0,10430000.0,45.0,0.0,5.0,1.0,3.0,0.0,3.0,16.160196922854226
2015017050,2.0,0.48913043478260815,-0.7130837298667566,450000.0,920000.0,27.0,1.0,7.0,0.0,2.0,0.0,1.0,13.732130035981154
2017003491,,0.0,-6.907755278982137,0.0,604000.0,71.0,0.0,5.0,0.0,3.0,0.0,2.0,13.311331132544721
2015014167,,0.0,-6.907755278982137,0.0,920500.0,82.0,1.0,3.0,1.0,1.0,0.0,1.0,13.732673366020785
201103961,,0.0,-6.907755278982137,0.0,555000.0,49.0,1.0,2.0,1.0,2.0,0.0,1.0,13.22672519452875
2013006682,,0.0,-6.907755278982137,0.0,416500.0,55.0,0.0,3.0,1.0,3.0,0.0,1.0,12.939644141546536
